3776508:
 num     #instances         #bytes  class name (module)
 222:           168          10752  jdk.internal.org.objectweb.asm.FieldWriter (java.base@21.0.11)
 223:           447          10728  clojure.lang.Compiler$ConstantExpr
 224:           264          10560  sun.security.util.KnownOIDs (java.base@21.0.11)
 225:           310           9920  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.11)
 226:           404           9696  jdk.jfr.internal.EventControl$NamedControl (jdk.jfr@21.0.11)
 227:           298           9536  jdk.internal.org.objectweb.asm.Type (java.base@21.0.11)
 228:           394           9456  java.util.jar.Attributes$Name (java.base@21.0.11)
 229:           385           9240  clojure.lang.Compiler$LetExpr
 230:           385           9240  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.11)
 231:           384           9216  clojure.core$destructure$process_entry__6359
 232:           572           9152  java.lang.Byte (java.base@21.0.11)
 233:           381           9144  java.util.regex.Pattern$GroupTail (java.base@21.0.11)
 234:           380           9120  java.util.regex.Pattern$GroupHead (java.base@21.0.11)
 235:           379           9096  clojure.lang.Compiler$NumberExpr
 236:           227           9080  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.11)
 237:           189           9072  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@21.0.11)
 238:           276           8832  clojure.lang.PersistentHashMap$NodeIter
 239:           362           8688  cheshire.generate$generate$fn__418
 240:           360           8640  java.util.stream.ReferencePipeline$3$1 (java.base@21.0.11)
 241:           214           8560  clojure.lang.PersistentTreeMap$BlackBranchVal
 242:           133           8512  java.lang.module.ModuleDescriptor (java.base@21.0.11)
 243:           265           8480  java.util.concurrent.atomic.LongAdder (java.base@21.0.11)
 244:           128           8192  java.util.zip.Inflater (java.base@21.0.11)
 245:             9           7728  [Lorg.eclipse.jetty.util.ArrayTrie$Node;
 246:           482           7712  java.util.HashMap$KeySet (java.base@21.0.11)
 247:           321           7704  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.11)
 248:           191           7640  java.lang.invoke.ConstantCallSite (java.base@21.0.11)
 249:           237           7584  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@21.0.11)
 250:           135           7560  java.util.stream.ReferencePipeline$2 (java.base@21.0.11)
 251:           311           7464  java.lang.Class$AnnotationData (java.base@21.0.11)
 252:           307           7368  java.util.ImmutableCollections$SetN (java.base@21.0.11)
 253:           131           7336  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.11)
 254:           298           7152  java.util.regex.Pattern$$Lambda/0x800000029 (java.base@21.0.11)
 255:           148           7104  clojure.lang.MethodImplCache
 256:           219           7008  java.lang.invoke.MethodTypeForm (java.base@21.0.11)
 257:           212           6784  clojure.lang.Namespace
 258:           272           6528  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@21.0.11)
 259:           203           6496  cheshire.generate$generate$fn__428
 260:           270           6480  java.util.Formatter (java.base@21.0.11)
 261:           401           6416  clojure.lang.Compiler$StringExpr
 262:           264           6336  java.util.stream.Collectors$$Lambda/0x800000045 (java.base@21.0.11)
 263:           384           6144  clojure.core$destructure$pb__6339
 264:           128           6144  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21.0.11)
 265:           254           6096  java.util.LinkedHashMap$LinkedValues (java.base@21.0.11)
 266:           216           6088  [Ljava.util.regex.Pattern$Node; (java.base@21.0.11)
 267:           151           6040  java.util.TreeMap$Entry (java.base@21.0.11)
 268:           188           6016  jdk.jfr.internal.EventControl (jdk.jfr@21.0.11)
 269:           188           6016  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@21.0.11)
 270:           374           5984  clojure.core$generate_proxy$reflect_Method_keyfn__7210$fn__7214
 271:            74           5920  java.util.zip.ZipFile$Source (java.base@21.0.11)
 272:           183           5856  jdk.jfr.internal.SettingsManager$InternalSetting (jdk.jfr@21.0.11)
 273:           244           5856  jdk.jfr.internal.settings.BooleanValue (jdk.jfr@21.0.11)
 274:           144           5760  jdk.internal.org.objectweb.asm.Handler (java.base@21.0.11)
 275:           239           5736  [Lorg.apache.tika.mime.Clause;
 276:           119           5712  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.11)
 277:           237           5688  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@21.0.11)
 278:           101           5656  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@21.0.11)
 279:           230           5520  jdk.internal.org.objectweb.asm.Edge (java.base@21.0.11)
 280:           227           5448  java.util.concurrent.ConcurrentHashMap$MapEntry (java.base@21.0.11)
 281:           170           5440  java.util.regex.Pattern$Branch (java.base@21.0.11)
 282:           131           5240  clojure.lang.Compiler$DefExpr
 283:           131           5240  java.math.BigInteger (java.base@21.0.11)
 284:           324           5184  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@21.0.11)
 285:           210           5040  java.util.concurrent.CopyOnWriteArrayList$COWIterator (java.base@21.0.11)
 286:           314           5024  java.util.regex.Pattern$BitClass (java.base@21.0.11)
 287:           103           4944  java.util.TreeMap (java.base@21.0.11)
 288:           200           4800  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.11)
 289:            83           4648  java.io.FileCleanable (java.base@21.0.11)
 290:           144           4608  java.util.LinkedList (java.base@21.0.11)
 291:            96           4608  jdk.jfr.internal.Type (jdk.jfr@21.0.11)
 292:           190           4560  clojure.core$isa_QMARK_$fn__6747
 293:           190           4560  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.11)
 294:           188           4512  jdk.jfr.EventType (jdk.jfr@21.0.11)
 295:           139           4448  java.util.HashMap$EntryIterator (java.base@21.0.11)
 296:            50           4400  clojure.lang.Compiler$NewInstanceMethod
 297:            91           4368  org.eclipse.jetty.http.HttpHeader
 298:           272           4352  java.lang.invoke.LambdaFormEditor (java.base@21.0.11)
 299:           179           4296  java.lang.invoke.InfoFromMemberName (java.base@21.0.11)
 300:           178           4272  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.11)
 301:            10           4240  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry; (java.xml@21.0.11)
 302:            44           4224  [Lcom.sun.org.apache.xerces.internal.xni.QName; (java.xml@21.0.11)
 303:           188           4192  [Ljdk.internal.org.objectweb.asm.Type; (java.base@21.0.11)
 304:           174           4176  java.util.ImmutableCollections$Set12$1 (java.base@21.0.11)
 305:             4           4160  [Lclojure.lang.IFn;
 306:           104           4160  clojure.lang.PersistentTreeMap$RedBranchVal
 307:            74           4144  java.util.jar.JarFile (java.base@21.0.11)
 308:           129           4128  clojure.lang.APersistentMap$ValSeq
 309:           172           4128  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator (java.base@21.0.11)
 310:           129           4128  java.lang.invoke.SimpleMethodHandle (java.base@21.0.11)
 311:             1           4112  [Ljava.nio.ByteBuffer; (java.base@21.0.11)
 312:           171           4104  clojure.core$fn$psig__6364
 313:           256           4096  java.lang.Short (java.base@21.0.11)
 314:           128           4096  java.util.regex.Pattern$Curly (java.base@21.0.11)
 315:           127           4064  java.lang.Package (java.base@21.0.11)
 316:            84           4032  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute (java.xml@21.0.11)
 317:            63           4032  java.lang.invoke.InvokerBytecodeGenerator (java.base@21.0.11)
 318:           167           4008  clojure.core$complement$fn__5758
 319:           145           3888  [Ljava.lang.reflect.Type; (java.base@21.0.11)
 320:           241           3856  clojure.core$str$fn__5552
 321:            96           3840  java.io.FileDescriptor (java.base@21.0.11)
 322:           239           3824  org.apache.tika.mime.AndClause
 323:            67           3752  malli.core$_simple_schema$reify__22762
 324:           156           3744  clojure.lang.ChunkBuffer
 325:            31           3720  java.lang.Thread (java.base@21.0.11)
 326:           154           3696  sun.reflect.generics.visitor.Reifier (java.base@21.0.11)
 327:           216           3656  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.11)
 328:           114           3648  clojure.lang.Delay
 329:            91           3640  java.lang.Package$VersionInfo (java.base@21.0.11)
 330:           225           3600  clojure.lang.Compiler$MapExpr
 331:            10           3600  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl (java.xml@21.0.11)
 332:            74           3552  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.11)
 333:            55           3520  java.security.Provider$Service (java.base@21.0.11)
 334:           110           3520  java.util.stream.Collectors$CollectorImpl (java.base@21.0.11)
 335:           110           3520  java.util.stream.ReduceOps$3 (java.base@21.0.11)
 336:           146           3504  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@21.0.11)
 337:           109           3488  java.util.LinkedHashMap$LinkedValueIterator (java.base@21.0.11)
 338:            62           3472  [Ljava.util.regex.Pattern$GroupHead; (java.base@21.0.11)
 339:           144           3456  com.sun.org.apache.xerces.internal.util.XMLStringBuffer (java.xml@21.0.11)
 340:           144           3456  java.util.regex.Pattern$Slice (java.base@21.0.11)
 341:           138           3312  clojure.spec.alpha$merge_spec_impl$reify__2183$fn__2184
 342:            82           3280  clojure.lang.Compiler$QualifiedMethodExpr
 343:           136           3264  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@21.0.11)
 344:           135           3240  java.security.Provider$ServiceKey (java.base@21.0.11)
 345:           135           3240  java.util.stream.ReferencePipeline$2$1 (java.base@21.0.11)
 346:           202           3232  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry (java.base@21.0.11)
 347:           100           3200  java.util.zip.ZipFile$CleanableResource (java.base@21.0.11)
 348:            66           3168  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@21.0.11)
 349:           131           3144  java.util.regex.Pattern$$Lambda/0x800000031 (java.base@21.0.11)
 350:           131           3144  jdk.internal.module.SystemModuleFinders$2 (java.base@21.0.11)
 351:            65           3120  clojure.lang.Compiler$KeywordInvokeExpr
 352:            55           3080  java.nio.HeapCharBuffer (java.base@21.0.11)
 353:           128           3072  java.util.zip.Inflater$InflaterZStreamRef (java.base@21.0.11)
 354:           125           3016  [Lcom.fasterxml.jackson.databind.JavaType;
 355:            75           3000  java.io.RandomAccessFile (java.base@21.0.11)
 356:           125           3000  java.lang.module.ModuleDescriptor$Provides (java.base@21.0.11)
 357:           124           2976  java.lang.module.ResolvedModule (java.base@21.0.11)
 358:           121           2904  java.util.regex.Pattern$Start (java.base@21.0.11)
 359:            89           2848  clojure.lang.PersistentTreeMap$BlackVal
 360:           178           2848  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.11)
 361:           118           2832  sun.reflect.generics.parser.SignatureParser (java.base@21.0.11)
 362:           117           2808  java.util.regex.Pattern$Ques (java.base@21.0.11)
 363:           117           2808  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21.0.11)
 364:            19           2736  clojure.lang.Compiler$NewInstanceExpr
 365:           171           2736  java.util.HashMap$EntrySet (java.base@21.0.11)
 366:           170           2720  java.util.regex.Pattern$BranchConn (java.base@21.0.11)
 367:           112           2688  com.sun.org.apache.xerces.internal.xni.XMLString (java.xml@21.0.11)
 368:           112           2688  sun.reflect.generics.scope.ClassScope (java.base@21.0.11)
 369:           166           2656  clojure.lang.RT$7
 370:           163           2608  clojure.lang.Var$Unbound
 371:            81           2592  clojure.lang.PersistentTreeMap$RedVal
 372:            81           2592  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@21.0.11)
 373:           107           2568  java.util.Arrays$ArrayList (java.base@21.0.11)
 374:           105           2520  clojure.core$assert_valid_fdecl$fn__8843
 375:           103           2472  [[C (java.base@21.0.11)
 376:           103           2472  java.util.Collections$SetFromMap (java.base@21.0.11)
 377:            77           2464  java.util.Collections$UnmodifiableSortedMap (java.base@21.0.11)
 378:            77           2464  jdk.jfr.internal.settings.ThresholdSetting (jdk.jfr@21.0.11)
 379:            75           2400  java.util.HashMap$KeyIterator (java.base@21.0.11)
 380:            50           2400  jdk.jfr.internal.periodic.JVMEventTask (jdk.jfr@21.0.11)
 381:            74           2368  java.util.HashMap$ValueIterator (java.base@21.0.11)
 382:           148           2368  jdk.proxy1.$Proxy5 (jdk.proxy1)
 383:           100           2360  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@21.0.11)
 384:            98           2352  clojure.core$destructure$pb__6339$pmap__6342
 385:            98           2352  clojure.core$destructure$pb__6339$pvec__6340
 386:            16           2304  [Ljava.lang.invoke.MemberName; (java.base@21.0.11)
 387:            22           2288  sun.net.www.protocol.file.FileURLConnection (java.base@21.0.11)
 388:            71           2272  java.util.ArrayList$ArrayListSpliterator (java.base@21.0.11)
 389:            94           2256  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer (java.xml@21.0.11)
 390:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@21.0.11)
 391:            89           2136  clojure.core$concat$fn__5577
 392:            53           2120  clojure.spec.alpha$spec_impl$reify__2046
 393:            52           2080  clojure.asm.Handler
 394:            65           2080  clojure.lang.Compiler$RecurExpr
